pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,812.1490404643966
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,822.2631187407454
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,841.005558515099
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,845.1143021795946
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,834.3816715149009
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,828.661359711109
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,815.1067861955814
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,811.3239411204142
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,811.4900545496818
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,845.4979600433555
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,852.7882552517074
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,836.7469614352153
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,817.5568709490882
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,815.0338760002132
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,811.788882771892
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,807.1440983045036
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,859.0127040473224
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,849.6880684682037
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,837.9578543984064
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,814.4662701058036
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,811.9836079864324
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,821.851368184712
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,819.4351012372855
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,846.8092278734825
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,845.4309862639412
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,835.1532447555062
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,819.0070901431992
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,817.870173902065
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,811.4464456945625
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,816.3952232669103
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,855.5934686638861
